id,name,author,slug,published,created,modified,path,comments,game_position,ludum_dare_version,data_authors,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
235196,Explory Story,"[184912, 236163, 253530, 250786]",explory-story,2021-04-27T00:43:02Z,2021-03-23T07:30:25Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/explory-story,42,46,48,https://api.ldjam.com/vx/node2/get/184912+236163+253530+250786,100.30075255877,53,41.75,42.5,4.268,46,4.113,83,4.817,1,3.78,737,4.378,158,4.207,77,4.325,25,4.5,27,-5.0171640219414
234394,Far Side of the Mirror,"[1883, 10169]",far-side-of-the-mirror,2021-04-27T01:37:45Z,2021-03-07T09:21:58Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/far-side-of-the-mirror,51,47,48,https://api.ldjam.com/vx/node2/get/1883+10169,104.54775252553,90,64.625,60.125,4.267,47,3.647,477,3.483,601,3.64,920,4.381,151,4.492,14,3.86,159,4.525,22,-5.1020099379147
249346,20.000 LIGHT YEARS deep in THE SKY,"[151968, 237462, 239597, 239184]",20-000-light-years-deep-in-the-sky,2021-04-26T19:38:51Z,2021-04-25T18:35:09Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/20-000-light-years-deep-in-the-sky,160,48,48,https://api.ldjam.com/vx/node2/get/151968+237462+239597+239184,98.678771779953,149,97.375,212.625,4.265,48,3.813,293,3.964,175,4.024,378,4.689,20,4.498,12,4.09,84,4.252,117,-46.562430252526
235037,Agent In Depth,"[180524, 205398, 204087, 32890, 194375]",agent-in-depth,2021-04-27T01:19:55Z,2021-03-20T19:04:55Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/agent-in-depth,42,49,48,https://api.ldjam.com/vx/node2/get/180524+205398+204087+32890+194375,53.703003074176,14,11.5,40.875,4.263,49,4.288,31,3.768,324,3.39,1236,4.463,100,4.293,59,2.704,888,4.2,141,-35.065231065906
240902,The Elevator,"[240900, 240903, 246643, 246662]",the-elevator,2021-04-26T22:37:34Z,2021-04-21T02:33:51Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/the-elevator,22,50,48,https://api.ldjam.com/vx/node2/get/240900+240903+246643+246662,96.295001286294,3,31.875,35.375,4.258,50,3.788,315,3.868,253,4.647,4,4.647,33,4.409,26,3.985,116,4.485,36,-32.181837713718
250640,Corporate Mole,"[211746, 252197]",corporate-mole,2021-04-27T00:43:12Z,2021-04-26T09:48:21Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/corporate-mole,83,51,48,https://api.ldjam.com/vx/node2/get/211746+252197,103.49348034506,179,84.75,80.125,4.256,51,4.276,34,3.937,193,3.969,464,4.31,216,3.533,611,4.544,7,4.149,189,-11.035040161041
245441,Sporelunk,"[179831, 320570, 204132]",sporelunk,2021-04-27T01:02:18Z,2021-04-23T23:42:50Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/sporelunk,77,52,48,https://api.ldjam.com/vx/node2/get/179831+320570+204132,96.862907259954,77,49.375,53.625,4.255,52,3.913,212,3.548,536,4.385,60,4.76,9,4.423,20,4.19,60,4.365,66,-1.4849482591562
237194,The Squeaky Affair,"[3066, 184241, 237189]",the-squeaky-affair,2021-04-27T00:50:34Z,2021-04-10T23:16:17Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/the-squeaky-affair,45,53,48,https://api.ldjam.com/vx/node2/get/3066+184241+237189,127.25695259516,152,146.25,62.75,4.254,53,4.238,42,4.115,93,3.672,873,4.361,171,3.943,229,3.771,194,4.189,150,-0.57197799948266
252697,Holey Hell,[3513],holey-hell,2021-04-27T01:26:45Z,2021-04-27T01:11:08Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/holey-hell,119,54,48,https://api.ldjam.com/vx/node2/get/3513,35.707142142714,1,12.75,221.14285714286,4.253,54,3.984,162,4.269,51,4.409,48,4.511,81,3.445,706,,,3.882,415,-77.8940667101
243860,Sunk Cost,"[214, 75599, 173]",sunk-cost,2021-04-26T19:09:03Z,2021-04-23T15:09:18Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/sunk-cost,21,55,48,https://api.ldjam.com/vx/node2/get/214+75599+173,144.25006345954,22,51.5,25.75,4.25,55,3.979,167,3.542,543,4.188,180,4.188,332,3.979,200,2.977,668,4.146,192,0.48426433348048
