author,count,file_name,team_size,ludum_dare_version,game_link,id,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
252079,1,ludum_dare_games_48.csv,6,48,/events/ludum-dare/48/disco-inferno,234024,104.11988590012,188,74.125,69.375,4.228,64,4.191,59.0,3.199,926.0,3.809,701.0,4.309,219.0,4.388,34.0,4.311,29.0,4.235,123.0,-5.5575174813359
188272,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/the-dwarves-of-mt-deep,238000,73.0553122756,0,11.875,23.25,4.227,65,4.182,61.0,4.091,103.0,4.386,59.0,4.091,428.0,4.409,26.0,3.417,388.0,3.95,347.0,-28.533036431366
184573,2,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/little-lost-sheep,243994,118.16498196574,34,47.125,34.75,4.227,65,3.621,512.0,3.818,284.0,4.078,301.0,4.088,429.0,4.455,16.0,3.5,330.0,4.515,25.0,-7.3144885818412
184573,2,ludum_dare_games_46.csv,2,46,/events/ludum-dare/46/plateau-melody,188125,88.19171036882,38,26.25,34.75,4.379,18,4.091,96.0,4.091,87.0,3.152,2081.0,4.333,245.0,4.833,1.0,3.774,281.0,4.5,21.0,-17.330955888728
147636,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/tower-tower-defence-defence,250627,92.073387308815,22,30.625,37.125,4.222,68,4.292,30.0,4.444,13.0,4.486,24.0,3.736,845.0,3.764,373.0,3.452,363.0,3.912,385.0,-25.721864729179
152144,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/tower-tower-defence-defence,250627,92.073387308815,22,30.625,37.125,4.222,68,4.292,30.0,4.444,13.0,4.486,24.0,3.736,845.0,3.764,373.0,3.452,363.0,3.912,385.0,-25.721864729179
187972,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/tower-tower-defence-defence,250627,92.073387308815,22,30.625,37.125,4.222,68,4.292,30.0,4.444,13.0,4.486,24.0,3.736,845.0,3.764,373.0,3.452,363.0,3.912,385.0,-25.721864729179
251400,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/tower-tower-defence-defence,250627,92.073387308815,22,30.625,37.125,4.222,68,4.292,30.0,4.444,13.0,4.486,24.0,3.736,845.0,3.764,373.0,3.452,363.0,3.912,385.0,-25.721864729179
198169,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/tower-tower-defence-defence,250627,92.073387308815,22,30.625,37.125,4.222,68,4.292,30.0,4.444,13.0,4.486,24.0,3.736,845.0,3.764,373.0,3.452,363.0,3.912,385.0,-25.721864729179
51455,1,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/i-stole-a-wizards-sack-and-all-i-got-was-this-lousy-infinite-pocket-universe,247570,102.29509134991,46,36.625,36.0,4.221,70,4.191,59.0,4.75,2.0,4.515,15.0,3.926,613.0,4.088,140.0,4.176,63.0,3.794,519.0,0.66445913694332
